Gene,A11.C636,A11,E9,HAP1.C597,KBM7
A1BG,0.82,0.90,0.99,0.71,0.20
A1CF,0.00,0.00,0.00,0.00,0.00
A2M,0.00,0.00,0.02,0.00,0.00
A2ML1,0.00,0.00,0.00,0.00,0.01
A4GALT,8.34,6.31,5.42,9.18,0.50
A4GNT,0.01,0.01,0.02,0.00,0.03
AAAS,7.98,8.92,9.11,7.65,4.64
AACS,0.71,0.68,0.55,0.72,0.41
AADACL2,0.00,0.00,0.00,0.00,0.00
AADACL3,0.00,0.00,0.00,0.00,0.00
AADAT,0.63,0.66,1.15,0.67,0.64
AAGAB,1.60,1.26,1.25,2.84,1.41
AAK1,0.09,0.09,0.08,0.07,0.05
AAMDC,0.27,0.27,0.28,0.29,0.34
AAMP,25.63,25.83,28.50,25.79,12.59
AANAT,0.01,0.02,0.02,0.01,0.01
AAR2,3.64,3.42,3.13,3.66,2.30
AARD,0.00,0.00,0.00,0.00,0.00
AARS,9.03,6.10,6.57,8.87,9.20
AARS2,3.79,4.57,4.62,4.53,2.17
AARSD1,2.91,3.22,3.55,2.90,2.69
AASDH,0.30,0.24,0.25,0.31,0.44
AASDHPPT,4.85,2.91,3.05,4.60,3.16
AASS,1.12,1.02,0.90,1.02,0.81
AATF,1.46,1.62,1.86,1.43,0.88
AATK,0.09,0.11,0.14,0.10,0.17
ABAT,0.11,0.12,0.08,0.09,0.10
ABCA1,0.01,0.01,0.00,0.01,0.00
ABCA10,0.00,0.00,0.00,0.00,0.02
ABCA12,0.00,0.00,0.00,0.00,0.00
ABCA13,0.00,0.01,0.00,0.00,0.00
ABCA2,2.21,2.74,3.00,2.17,8.54
ABCA3,0.92,1.51,1.43,1.08,0.54
ABCA4,0.00,0.00,0.00,0.00,0.00
ABCA5,0.07,0.05,0.03,0.06,0.11
ABCA6,0.00,0.00,0.00,0.00,0.05
ABCA7,0.61,0.90,1.01,0.63,0.59
ABCA8,0.00,0.00,0.00,0.00,0.00
ABCA9,0.00,0.00,0.00,0.00,0.08
ABCB1,0.28,0.23,0.09,0.23,0.01
ABCB10,1.53,1.00,0.94,1.46,0.98
ABCB11,0.00,0.00,0.00,0.00,0.00
ABCB4,0.01,0.01,0.00,0.02,0.00
ABCB5,0.00,0.00,0.00,0.00,0.00
ABCB6,0.40,0.55,0.63,0.44,0.75
ABCB7,0.64,0.49,0.50,0.66,1.27
ABCB8,2.20,2.48,2.40,2.30,0.77
ABCB9,0.23,0.26,0.27,0.26,0.17
ABCC1,0.61,0.59,0.56,0.66,0.54
ABCC10,1.21,1.38,1.45,1.13,0.42
ABCC11,0.00,0.01,0.01,0.01,0.00
ABCC12,0.00,0.00,0.00,0.00,0.00
ABCC2,0.01,0.01,0.00,0.01,0.01
ABCC3,0.00,0.00,0.00,0.00,0.00
ABCC4,0.15,0.12,0.10,0.14,0.21
ABCC5,0.81,0.82,0.75,0.72,0.58
ABCC6,0.03,0.02,0.03,0.03,0.07
ABCC8,0.08,0.08,0.07,0.07,0.03
ABCC9,0.00,0.00,0.00,0.00,0.00
ABCD1,0.45,0.54,0.91,0.54,0.85
ABCD2,0.00,0.00,0.00,0.01,0.01
ABCD3,0.74,0.53,0.51,0.70,0.45
ABCD4,3.06,3.22,3.28,2.56,2.36
ABCE1,8.04,5.54,5.08,7.46,5.87
ABCF1,10.13,10.80,10.94,10.44,5.35
ABCF2,9.36,7.92,7.61,9.08,4.52
ABCF3,7.37,7.09,7.16,7.29,5.58
ABCG1,0.00,0.00,0.00,0.00,0.10
ABCG2,0.01,0.01,0.01,0.01,0.02
ABCG4,0.22,0.17,0.27,0.18,0.06
ABCG5,0.02,0.01,0.01,0.01,0.00
ABCG8,0.00,0.00,0.00,0.00,0.00
ABHD1,0.29,0.30,0.28,0.31,0.27
ABHD10,2.74,2.02,1.53,2.60,2.83
ABHD11,4.90,5.40,6.67,4.38,2.22
ABHD12,0.59,0.60,0.57,0.60,0.55
ABHD12B,0.12,0.12,0.06,0.10,0.10
ABHD13,1.69,1.13,1.04,1.61,1.62
ABHD14A,1.34,1.46,1.52,1.17,2.28
ABHD14A-ACY1,2.00,2.07,2.34,1.87,2.98
ABHD14B,7.57,7.47,7.19,6.98,20.93
ABHD15,3.35,2.56,2.36,3.06,2.37
ABHD16A,2.17,2.22,2.30,2.22,2.22
ABHD16B,0.49,0.91,1.10,0.58,1.83
ABHD17A,3.20,4.22,4.16,3.16,3.00
ABHD17B,1.13,0.62,0.41,0.98,0.57
ABHD17C,0.56,0.35,0.28,0.95,0.81
ABHD2,0.73,0.56,0.54,1.28,1.76
ABHD3,0.58,0.41,0.41,0.57,0.57
ABHD4,0.86,0.76,0.64,0.71,1.17
ABHD5,0.43,0.31,0.27,0.44,0.20
ABHD6,0.26,0.21,0.15,0.26,0.12
ABHD8,0.85,0.97,0.86,0.81,0.61
ABI1,0.50,0.46,0.46,0.50,0.70
ABI2,0.45,0.38,0.41,0.44,0.31
ABI3,0.02,0.01,0.01,0.03,0.01
ABI3BP,0.00,0.00,0.00,0.00,0.01
ABL1,0.11,0.20,0.30,0.09,1.71
ABL2,0.65,0.56,0.52,0.73,0.62
ABLIM1,0.11,0.11,0.12,0.12,0.01
ABLIM2,0.00,0.00,0.01,0.00,0.00
ABLIM3,0.00,0.00,0.00,0.00,0.00
ABR,0.44,0.48,0.46,0.43,0.58
ABRA,0.00,0.00,0.00,0.00,0.00
ABRACL,5.24,3.28,2.31,4.36,3.58
ABT1,16.19,16.09,16.30,16.65,12.02
ABTB1,0.38,0.53,0.48,0.31,1.89
ABTB2,0.10,0.12,0.10,0.11,0.05
AC000003.2,0.00,0.00,0.00,0.00,0.02
AC002398.9,4.13,4.08,4.21,3.78,2.88
AC002472.13,0.01,0.00,0.00,0.00,0.00
AC003005.4,0.66,0.50,0.55,0.64,0.91
AC003102.1,0.00,0.00,0.01,0.01,0.01
AC004076.9,0.43,0.39,0.32,0.49,0.45
AC004381.6,0.41,0.39,0.37,0.31,0.84
AC004466.1,3.03,3.81,3.64,3.66,9.51
