Gene,Description,A11.C636,A11,E9,HAP1.C597,KBM7
A1CF,APOBEC1 complementation factor,0.00,0.00,0.00,0.00,0.00
AAR2,AAR2 splicing factor homolog (S. cerevisiae),3.64,3.42,3.13,3.66,2.30
AARS,alanyl-tRNA synthetase,9.03,6.10,6.57,8.87,9.20
AARS2,"alanyl-tRNA synthetase 2, mitochondrial",3.79,4.57,4.62,4.53,2.17
AARSD1,alanyl-tRNA synthetase domain containing 1,2.91,3.22,3.55,2.90,2.69
ABCE1,"ATP-binding cassette, sub-family E (OABP), member 1",8.04,5.54,5.08,7.46,5.87
ABCF1,"ATP-binding cassette, sub-family F (GCN20), member 1",10.13,10.80,10.94,10.44,5.35
ABT1,activator of basal transcription 1,16.19,16.09,16.30,16.65,12.02
AC004381.6,Putative RNA exonuclease NEF-sp ,0.41,0.39,0.37,0.31,0.84
ACIN1,apoptotic chromatin condensation inducer 1,8.18,9.93,10.12,8.38,6.26
ACO1,"aconitase 1, soluble",1.55,1.18,1.17,1.37,0.93
ADAD1,adenosine deaminase domain containing 1 (testis-specific),0.00,0.00,0.00,0.00,0.00
ADAD2,adenosine deaminase domain containing 2,0.01,0.01,0.00,0.00,0.01
ADAR,"adenosine deaminase, RNA-specific",7.63,6.73,6.63,7.71,7.83
ADARB1,"adenosine deaminase, RNA-specific, B1",0.19,0.20,0.20,0.16,0.02
ADARB2,"adenosine deaminase, RNA-specific, B2",0.00,0.00,0.00,0.00,0.00
ADAT1,"adenosine deaminase, tRNA-specific 1",0.75,0.72,0.79,0.72,0.62
ADAT2,"adenosine deaminase, tRNA-specific 2",0.49,0.44,0.44,0.50,2.00
ADAT3,"adenosine deaminase, tRNA-specific 3",0.41,0.50,0.49,0.41,0.19
AEN,apoptosis enhancing nuclease,12.44,14.04,15.06,25.70,19.75
AFF1,"AF4/FMR2 family, member 1",0.60,0.55,0.44,0.61,0.47
AFF2,"AF4/FMR2 family, member 2",0.15,0.13,0.11,0.13,0.00
AFF3,"AF4/FMR2 family, member 3",0.00,0.00,0.00,0.00,0.00
AFF4,"AF4/FMR2 family, member 4",1.64,1.41,1.21,1.58,0.74
AGFG1,ArfGAP with FG repeats 1,1.36,1.01,0.97,1.33,0.72
AGO1,"eukaryotic translation initiation factor 2C, 1",1.67,1.70,1.49,1.74,0.67
AGO2,"eukaryotic translation initiation factor 2C, 2",0.49,0.48,0.44,0.46,0.27
AGO3,"eukaryotic translation initiation factor 2C, 3",0.12,0.13,0.13,0.12,0.11
AGO4,"eukaryotic translation initiation factor 2C, 4",0.62,0.61,0.41,0.65,1.15
AIMP1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1,2.79,2.11,2.16,2.68,2.69
AIMP2,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2,6.61,5.97,6.87,6.57,2.25
AKAP1,A kinase (PRKA) anchor protein 1,3.61,3.92,3.15,3.53,1.93
