Gene_ID,Transcript_ID,Gene,A11.C636,A11,E9,HAP1.C597,KBM7
ENSG00000111640.10,ENST00000396858.1,GAPDH,1129.21,1071.45,1147.63,1189.35,760.84
ENSG00000109971.9,ENST00000534319.1,HSPA8,1127.26,1046.77,937.22,1122.97,343.42
ENSG00000184009.5,ENST00000576544.1,ACTG1,1092.66,1085.15,1159.43,1029.72,775.03
ENSG00000184009.5,ENST00000575087.1,ACTG1,1091.17,1083.72,1157.86,1028.35,774.03
ENSG00000184009.5,ENST00000575842.1,ACTG1,1087.35,1079.94,1153.81,1024.75,771.39
ENSG00000184009.5,ENST00000573283.1,ACTG1,1087.35,1079.94,1153.81,1024.75,771.39
ENSG00000109971.9,ENST00000526110.1,HSPA8,1080.34,999.37,893.82,1079.33,328.50
ENSG00000184009.5,ENST00000331925.2,ACTG1,1045.79,1038.66,1109.70,985.58,741.90
ENSG00000109971.9,ENST00000227378.3,HSPA8,1035.01,956.75,856.58,1033.40,314.88
ENSG00000111640.10,ENST00000396859.1,GAPDH,988.34,922.56,987.87,1039.86,664.37
ENSG00000075624.9,ENST00000425660.1,ACTB,977.90,1125.40,1255.24,943.62,751.61
ENSG00000075624.9,ENST00000331789.5,ACTB,946.86,1089.66,1215.38,913.66,727.74
ENSG00000111640.10,ENST00000396856.1,GAPDH,930.75,868.77,930.27,979.20,625.67
ENSG00000111640.10,ENST00000396861.1,GAPDH,926.62,864.90,926.15,974.85,622.89
ENSG00000109971.9,ENST00000532636.1,HSPA8,923.21,853.52,764.12,921.76,280.87
ENSG00000156508.13,ENST00000309268.6,EEF1A1,921.87,880.23,824.06,952.27,1553.23
ENSG00000184009.5,ENST00000572105.2,ACTG1,914.76,1142.52,1238.93,870.62,635.02
ENSG00000156508.13,ENST00000331523.2,EEF1A1,893.99,853.64,799.19,923.46,1506.26
ENSG00000109971.9,ENST00000533540.1,HSPA8,862.15,801.22,717.06,861.19,262.08
ENSG00000109971.9,ENST00000534624.1,HSPA8,826.76,768.32,687.63,825.83,251.32
ENSG00000109971.9,ENST00000453788.2,HSPA8,826.76,768.32,687.63,825.83,251.32
ENSG00000080824.14,ENST00000441629.2,HSP90AA1,803.84,589.48,540.51,811.87,165.80
ENSG00000111640.10,ENST00000229239.5,GAPDH,797.69,744.68,797.39,839.25,536.18
ENSG00000147403.12,ENST00000406022.2,RPL10,731.10,547.07,548.46,724.72,1475.18
ENSG00000156508.13,ENST00000316292.9,EEF1A1,716.55,683.03,638.79,739.89,1205.63
ENSG00000080824.14,ENST00000216281.8,HSP90AA1,713.41,482.05,443.22,711.39,149.89
ENSG00000150991.10,ENST00000546120.1,UBC,671.90,569.41,621.10,692.29,546.43
ENSG00000196230.8,ENST00000396384.1,TUBB,594.87,591.43,590.88,591.01,325.48
ENSG00000196230.8,ENST00000396389.1,TUBB,589.82,586.41,585.88,586.00,322.71
